position,s(x)_diff,g(x)_diff,f(x)_diff
1.0,2.1052631578947367,1.6842105263157894,2.1052631578947367
2.0,2.3157894736842106,1.9473684210526316,2.3157894736842106
3.0,2.0,2.4,2.0
4.0,2.736842105263158,2.736842105263158,2.736842105263158
5.0,2.4444444444444446,2.7777777777777777,2.4444444444444446
6.0,3.2222222222222223,3.2222222222222223,3.2222222222222223
7.0,2.5238095238095237,2.761904761904762,2.761904761904762
8.0,3.05,3.05,3.45
9.0,3.5,3.5,3.5
10.0,2.9444444444444446,2.9444444444444446,4.055555555555555
11.0,3.1875,3.4375,4.4375
12.0,3.5,3.2777777777777777,5.611111111111111
13.0,2.9473684210526314,2.6842105263157894,6.105263157894737
14.0,3.4,2.533333333333333,8.266666666666667
15.0,3.823529411764706,3.823529411764706,7.764705882352941
16.0,3.65,2.75,5.35
17.0,5.157894736842105,2.8421052631578947,2.6842105263157894
18.0,3.25,2.75,2.5
19.0,3.9047619047619047,2.619047619047619,4.380952380952381
20.0,5.111111111111111,4.444444444444445,6.222222222222222
